id,name,team,pastTeams,role,battingHand,jerseyNo,debutYear,auctionPrice,matches,playerLink
24,Vijaykumar Vyshak,PBKS,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/vijaykumar-vyshak-777815
25,Yash Thakur,PBKS,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/yash-thakur-1070196
1,Riyan Parag,RR,,Top order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/riyan-parag-1079434
2,Aman Rao,RR,,Opening Batter,Right,,,,,https://www.espncricinfo.com/cricketers/aman-rao-1403261
3,Shubham Dubey,RR,,Middle order Batter,Left,,,,,https://www.espncricinfo.com/cricketers/shubham-dubey-1252585
4,Shimron Hetmyer,RR,,Middle order Batter,Left,,,,,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025
5,Yashasvi Jaiswal,RR,,Opening Batter,Left,,,,,https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278
6,Dhruv Jurel,RR,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/dhruv-jurel-1175488
7,Lhuan-dre Pretorius,RR,,Wicketkeeper Batter,Left,,,,,https://www.espncricinfo.com/cricketers/lhuan-dre-pretorius-1385640
8,Ravi Singh,RR,,Middle order Batter,Left,,,,,https://www.espncricinfo.com/cricketers/ravi-singh-1461577
9,Vaibhav Sooryavanshi,RR,,Top order Batter,Left,,,,,https://www.espncricinfo.com/cricketers/vaibhav-sooryavanshi-1408688
10,Donovan Ferreira,RR,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/donovan-ferreira-698315
11,Ravindra Jadeja,RR,,Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675
12,Dasun Shanaka,RR,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/dasun-shanaka-437316
13,Sam Curran,RR,,Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/sam-curran-662973
14,Jofra Archer,RR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/jofra-archer-669855
15,Brijesh Sharma,RR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/brijesh-sharma-1515046
16,Nandre Burger,RR,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/nandre-burger-971349
17,Tushar Deshpande,RR,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/tushar-deshpande-822553
18,Kwena Maphaka,RR,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/kwena-maphaka-1294342
19,Adam Milne,RR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/adam-milne-450860
20,Sushant Mishra,RR,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/sushant-mishra-1175457
21,Vignesh Puthur,RR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/vignesh-puthur-1460388
22,Ravi Bishnoi,RR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441
23,Sandeep Sharma,RR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/sandeep-sharma-438362
24,Kuldeep Sen,RR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/kuldeep-sen-1163695
25,Yash Raj Punja,RR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/yash-raj-punja-1515186
